name id
adfs 44533
affs 44543
afs 1397113167
anon_inode_fs 151263540
autofs 391
bdevfs 1650746742
befs 1111905073
bfs 464386766
binfmtfs 1112100429
bpf_fs 3405662737
btrfs 2435016766
btrfs_test 1936880249
cgroup 2613483
cgroup2 1667723888
cifs_number 4283649346
coda 1937076805
coh 19920823
cramfs 684539205
debugfs 1684170528
devfs 4979
devpts 7377
ecryptfs 61791
efivarfs 3730735588
efs 4278867
ext 4989
ext2_old 61265
ext2 61267
ext3 61267
ext4 61267
f2fs 4076150800
fuse 1702057286
futexfs 195894762
hfs 16964
hostfs 12648430
hpfs 4187351113
hugetlbfs 2508478710
isofs 38496
jffs2 29366
jfs 827541066
minix 4991
minix2 5007
minix2 9320
minix22 9336
minix3 19802
mqueue 427819522
msdos 19780
mtd_inode_fs 288389204
ncp 22092
nfs 26985
nilfs 13364
nsfs 1853056627
ntfs_sb 1397118030
ocfs2 1952539503
openprom 40865
overlayfs 2035054128
pipefs 1346981957
proc 40864
pstorefs 1634035564
qnx4 47
qnx6 1746473250
ramfs 2240043254
reiserfs 1382369651
romfs 29301
securityfs 1935894131
selinux 4185718668
smack 1128357203
smb 20859
smb2_number 4266872130
sockfs 1397703499
squashfs 1936814952
sysfs 1650812274
sysv2 19920822
sysv4 19920821
tmpfs 16914836
tracefs 1953653091
udf 352400198
ufs 72020
usbdevice 40866
v9fs 16914839
vxfs 2768370933
xenfs 2881100148
xenix 19920820
xfs 1481003842
_xiafs 19911021
